[1/1] Launching benchmark at Fri Apr 25 02:47:21 AM KST 2025
Start Time: 2025-04-25 02:47:21
▶️ Starting ifstat logging...
    Finished `release` profile [optimized] target(s) in 0.00s
     Running `target/release/echo_bench --address '117.16.44.111:8050' --number 1000 --duration 300 --length 32`
Sleeping for 300 seconds
wake up
Benchmarking: 117.16.44.111:8050
1000 clients, running 32 bytes, 300 sec.

Speed: 425565 request/sec, 425565 response/sec
Requests: 127669743
Responses: 127669742
⏹ ifstat stopped.
End Time: 2025-04-25 02:52:22

=== ifstat log ===
       eno1       
 KB/s in  KB/s out
40336.66  40468.35
42811.44  42812.27
42337.31  42336.45
42008.41  42012.71
42081.19  42081.99
42137.00  42136.12
42138.64  42143.25
42435.45  42439.38
42018.23  42017.54
42433.90  42441.03
42095.49  42129.30
41964.44  41949.50
42185.56  42203.34
41704.36  41672.91
41956.61  41958.57
41930.43  41934.39
42420.77  42421.98
41939.85  41939.74
41881.08  41886.91
41617.80  41625.14
42363.67  42360.69
41740.39  41762.36
       eno1       
 KB/s in  KB/s out
41443.24  41427.96
42308.35  42310.63
42446.38  42450.70
42771.52  42774.43
42261.67  42288.95
42450.64  42427.45
42036.45  42039.85
42360.92  42378.44
42192.51  42196.14
42327.87  42320.33
41975.96  41970.64
42537.16  42541.82
41924.31  41927.49
42273.04  42309.06
42130.97  42101.28
42464.80  42486.62
42103.11  42087.21
42033.42  42035.68
42575.18  42577.71
42802.68  42804.25
42419.18  42461.40
42321.96  42293.39
       eno1       
 KB/s in  KB/s out
42340.87  42337.62
42231.02  42260.97
42081.63  42087.12
41863.36  41871.38
42163.30  42165.78
42071.15  42065.99
42029.65  42032.87
41890.35  41905.18
42211.78  42216.41
41735.27  41733.13
42726.98  42698.03
41921.03  41948.77
42326.47  42335.32
42185.57  42156.59
42311.33  42346.50
42324.43  42329.36
42603.45  42609.42
42425.87  42427.03
42142.89  42142.08
43254.87  43226.48
42594.45  42630.67
42480.19  42479.82
       eno1       
 KB/s in  KB/s out
42037.74  42043.71
42140.62  42146.71
41382.71  41389.80
42032.37  42026.94
41416.31  41420.42
41825.32  41831.09
41471.34  41469.66
41705.75  41712.74
41561.43  41563.60
41789.04  41789.48
41643.98  41653.44
41518.21  41515.38
41892.91  41899.59
41646.27  41645.40
41905.85  41905.11
41796.76  41808.16
42012.95  42015.60
41836.68  41832.03
41717.13  41715.94
42322.00  42329.32
43287.08  43262.89
44181.47  44188.42
       eno1       
 KB/s in  KB/s out
42740.78  42780.64
42088.76  42086.57
42341.38  42345.74
41905.12  41906.36
42582.17  42589.52
42226.37  42226.18
42233.27  42239.15
42047.50  42044.61
42085.56  42095.93
42234.82  42239.71
42220.10  42215.47
42410.06  42415.37
41925.28  41930.29
42252.54  42256.96
41875.87  41876.50
42035.85  42041.65
41805.15  41798.75
42144.44  42160.74
41887.17  41888.02
42331.68  42330.63
42303.45  42275.72
42137.15  42170.09
       eno1       
 KB/s in  KB/s out
41387.85  41397.04
41830.13  41833.49
41659.42  41661.86
41782.72  41777.74
41838.62  41849.01
41458.03  41423.65
43683.02  43683.48
44165.90  44171.85
44354.84  44358.51
41944.01  41980.43
42034.87  42035.93
41590.08  41592.98
41900.88  41911.34
41704.51  41706.60
42016.01  42014.32
41678.46  41679.94
